,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
542,2022-06-27,50,444703,542355519,978,6333450
543,2022-06-28,143,435086,542790605,849,6334299
544,2022-06-29,84,816210,543606815,1325,6335624
545,2022-06-30,45,759052,544365867,1126,6336750
546,2022-07-01,112,1535829,545901696,3690,6340440
547,2022-07-02,84,850384,546752080,1815,6342255
548,2022-07-03,59,675728,547427808,1087,6343342
549,2022-07-04,79,529865,547957673,1058,6344400
550,2022-07-05,102,507240,548464913,1035,6345435
551,2022-07-06,114,1032018,549496931,1401,6346836
552,2022-07-07,81,863220,550360151,1377,6348213
553,2022-07-08,64,1660548,552020699,3875,6352088
554,2022-07-09,98,977868,552998567,2064,6354152
555,2022-07-10,106,810219,553808786,1230,6355382
556,2022-07-11,142,617493,554426279,1299,6356681
557,2022-07-12,93,573090,554999369,1209,6357890
558,2022-07-13,105,1080784,556080153,1822,6359712
559,2022-07-14,75,921347,557001500,1506,6361218
560,2022-07-15,71,1753885,558755385,4297,6365515
561,2022-07-16,67,840554,559595939,2260,6367775
562,2022-07-17,89,1016866,560612805,1486,6369261
563,2022-07-18,89,818035,561430840,1535,6370796
564,2022-07-19,160,650090,562080930,1646,6372442
565,2022-07-20,179,1015253,563096183,1951,6374393
566,2022-07-21,249,915195,564011378,1885,6376278
567,2022-07-22,255,1817014,565828392,4745,6381023
568,2022-07-23,150,971645,566800037,2486,6383509
569,2022-07-24,144,1080918,567880955,1305,6384814
570,2022-07-25,141,819847,568700802,2021,6386835
571,2022-07-26,227,701849,569402651,1727,6388562
572,2022-07-27,139,1004879,570407530,2208,6390770
573,2022-07-28,180,881888,571289418,1918,6392688
574,2022-07-29,177,1777800,573067218,5037,6397725
575,2022-07-30,133,894135,573961353,2861,6400586
576,2022-07-31,70,717883,574679236,1547,6402133
577,2022-08-01,132,1149391,575828627,2079,6404212
578,2022-08-02,77,656303,576484930,1626,6405838
579,2022-08-03,157,876492,577361422,2204,6408042
580,2022-08-04,159,818434,578179856,1815,6409857
581,2022-08-05,106,2029593,580209449,5408,6415265
582,2022-08-06,78,828443,581037892,2738,6418003
583,2022-08-07,61,845367,581883259,1488,6419491
584,2022-08-08,82,903862,582787121,2223,6421714
585,2022-08-09,94,608262,583395383,1542,6423256
586,2022-08-10,133,800478,584195861,2152,6425408
587,2022-08-11,188,764521,584960382,2031,6427439
588,2022-08-12,100,1513898,586474280,5380,6432819
589,2022-08-13,54,729498,587203778,2918,6435737
590,2022-08-14,69,590700,587794478,1581,6437318
591,2022-08-15,90,734158,588528636,1925,6439243
592,2022-08-16,158,488267,589016903,1375,6440618
593,2022-08-17,144,704596,589721499,2164,6442782
594,2022-08-18,230,763327,590484826,1852,6444634
595,2022-08-19,155,1421460,591906286,5057,6449691
596,2022-08-20,86,749527,592655813,2493,6452184
597,2022-08-21,135,635475,593291288,1496,6453680
598,2022-08-22,112,661783,593953071,1781,6455461
599,2022-08-23,56,571678,594524749,1508,6456969
600,2022-08-24,54,682405,595207154,1889,6458858
601,2022-08-25,97,680436,595887590,1664,6460522
602,2022-08-26,81,1273260,597160850,4859,6465381
603,2022-08-27,78,606028,597766878,2093,6467474
604,2022-08-28,44,343853,598110731,1351,6468825
605,2022-08-29,94,697550,598808281,1754,6470579
606,2022-08-30,112,453300,599261581,1362,6471941
607,2022-08-31,96,583866,599845447,1825,6473766
