,dt,activity_count,daily_new_cases,cumulative_cases,daily_new_deaths,cumulative_deaths
70,2021-03-12,97,799532,118660487,18254,2754498
71,2021-03-13,214,398300,119058787,8080,2762578
72,2021-03-14,128,406717,119465504,7246,2769824
73,2021-03-15,124,353311,119818815,6921,2776745
74,2021-03-16,216,334119,120152934,7077,2783822
75,2021-03-17,222,386432,120539366,7529,2791351
76,2021-03-18,192,483158,121022524,9152,2800503
77,2021-03-19,188,858729,121881253,16491,2816994
78,2021-03-20,162,459609,122340862,8976,2825970
79,2021-03-21,177,466805,122807667,8030,2834000
80,2021-03-22,133,419440,123227107,9770,2843770
81,2021-03-23,152,400630,123627737,7564,2851334
82,2021-03-24,207,460047,124087784,8200,2859534
83,2021-03-25,138,540062,124627846,9942,2869476
84,2021-03-26,145,947087,125574933,15897,2885373
85,2021-03-27,109,523816,126098749,9859,2895232
86,2021-03-28,104,523074,126621823,9150,2904382
87,2021-03-29,121,477809,127099632,8794,2913176
88,2021-03-30,197,437520,127537152,8792,2921968
89,2021-03-31,188,484713,128021865,9277,2931245
90,2021-04-01,133,584001,128605866,11281,2942526
91,2021-04-02,152,1026183,129632049,17387,2959913
92,2021-04-03,138,560702,130192751,11233,2971146
93,2021-04-04,106,492859,130685610,9387,2980533
94,2021-04-05,82,494862,131180472,8334,2988867
95,2021-04-06,113,456687,131637159,7584,2996451
96,2021-04-07,126,525318,132162477,9739,3006190
97,2021-04-08,155,666927,132829404,13260,3019450
98,2021-04-09,104,1134074,133963478,19544,3038994
99,2021-04-10,82,649921,134613399,13051,3052045
100,2021-04-11,76,664810,135278209,10900,3062945
101,2021-04-12,93,609437,135887646,10120,3073065
102,2021-04-13,150,571514,136459160,10363,3083428
103,2021-04-14,145,649520,137108680,10692,3094120
104,2021-04-15,148,734237,137842917,13049,3107169
105,2021-04-16,105,1220587,139063504,17990,3125159
106,2021-04-17,67,716271,139779775,12823,3137982
107,2021-04-18,85,747102,140526877,11204,3149186
108,2021-04-19,146,695411,141222288,11577,3160763
109,2021-04-20,134,662806,141885094,11192,3171955
110,2021-04-21,246,733773,142618867,11838,3183793
111,2021-04-22,194,827674,143446541,13782,3197575
112,2021-04-23,121,1261995,144708536,18773,3216348
113,2021-04-24,84,767039,145475575,12399,3228747
114,2021-04-25,98,775727,146251302,12245,3240992
115,2021-04-26,67,737280,146988582,12564,3253556
116,2021-04-27,138,668514,147657096,11873,3265429
117,2021-04-28,145,741710,148398806,12425,3277854
118,2021-04-29,206,827998,149226804,14535,3292389
119,2021-04-30,129,1175211,150402015,19102,3311491
120,2021-05-01,120,788403,151190418,13579,3325070
121,2021-05-02,90,766062,151956480,12259,3337329
122,2021-05-03,191,705401,152661881,12073,3349402
123,2021-05-04,160,652544,153314425,10957,3360359
124,2021-05-05,126,705870,154020295,11646,3372005
125,2021-05-06,132,800281,154820576,14162,3386167
126,2021-05-07,210,1111622,155932198,18641,3404808
127,2021-05-08,116,762523,156694721,13180,3417988
128,2021-05-09,104,758194,157452915,12095,3430083
129,2021-05-10,239,675593,158128508,11992,3442075
130,2021-05-11,168,622689,158751197,11266,3453341
131,2021-05-12,171,625420,159376617,11625,3464966
132,2021-05-13,103,721043,160097660,12991,3477957
133,2021-05-14,153,933020,161030680,16893,3494850
134,2021-05-15,125,636458,161667138,12113,3506963
135,2021-05-16,133,628590,162295728,11391,3518354
136,2021-05-17,181,589274,162885002,11684,3530038
137,2021-05-18,573,537923,163422925,11335,3541373
138,2021-05-19,395,554595,163977520,11831,3553204
139,2021-05-20,470,619073,164596593,12559,3565763
140,2021-05-21,398,810841,165407434,16539,3582302
141,2021-05-22,403,596290,166003724,12195,3594497
142,2021-05-23,292,542765,166546489,10734,3605231
143,2021-05-24,236,503972,167050461,10917,3616148
144,2021-05-25,229,429469,167479930,9257,3625405
145,2021-05-26,250,472099,167952029,10600,3636005
146,2021-05-27,206,543967,168495996,11389,3647394
147,2021-05-28,235,688907,169184903,15500,3662894
148,2021-05-29,160,487683,169672586,10896,3673790
149,2021-05-30,118,433244,170105830,10592,3684382
150,2021-05-31,97,449957,170555787,10032,3694414
151,2021-06-01,185,374492,170930279,8537,3702951
152,2021-06-02,194,391900,171322179,8960,3711911
153,2021-06-03,252,451083,171773262,10069,3721980
154,2021-06-04,273,573207,172346469,13920,3735900
155,2021-06-05,132,424163,172770632,9653,3745553
156,2021-06-06,185,361354,173131986,8495,3754048
157,2021-06-07,171,367328,173499314,8508,3762556
158,2021-06-08,126,314050,173813364,7666,3770222
159,2021-06-09,167,337574,174150938,7985,3778207
160,2021-06-10,514,367091,174518029,13359,3791566
161,2021-06-11,435,505590,175023619,13627,3805193
162,2021-06-12,278,389598,175413217,10945,3816138
163,2021-06-13,334,372931,175786148,9329,3825467
164,2021-06-14,385,352961,176139109,10295,3835762
165,2021-06-15,284,298221,176437330,8085,3843847
166,2021-06-16,267,309436,176746766,7782,3851629
167,2021-06-17,301,373709,177120475,9474,3861103
168,2021-06-18,228,484103,177604578,11514,3872617
169,2021-06-19,241,364820,177969398,8343,3880960
170,2021-06-20,283,365911,178335309,8186,3889146
171,2021-06-21,205,335773,178671082,7728,3896874
172,2021-06-22,262,299438,178970520,6735,3903609
173,2021-06-23,259,316371,179286891,6856,3910465
174,2021-06-24,223,401325,179688216,8351,3918816
175,2021-06-25,221,508640,180196856,10396,3929212
176,2021-06-26,120,383297,180580153,8061,3937273
177,2021-06-27,182,376310,180956463,7840,3945113
178,2021-06-28,182,359337,181315800,7129,3952242
179,2021-06-29,205,316309,181632109,6426,3958668
180,2021-06-30,236,347065,181979174,6517,3965185
181,2021-07-01,214,408112,182387286,8036,3973221
182,2021-07-02,125,491343,182878629,10552,3983773
183,2021-07-03,135,416214,183294843,7858,3991631
184,2021-07-04,178,402041,183696884,7396,3999027
185,2021-07-05,156,377994,184074878,7306,4006333
186,2021-07-06,176,342354,184417232,6537,4012870
187,2021-07-07,215,394562,184811794,7179,4020049
188,2021-07-08,133,468674,185280468,8058,4028107
189,2021-07-09,102,580011,185860479,9772,4037879
190,2021-07-10,81,460095,186320574,8183,4046062
191,2021-07-11,110,447748,186768322,7604,4053666
192,2021-07-12,116,424757,187193079,7585,4061251
193,2021-07-13,174,395006,187588085,7787,4069038
194,2021-07-14,199,461791,188049876,7131,4076169
195,2021-07-15,188,516798,188566674,7948,4084117
196,2021-07-16,137,715258,189281932,10036,4094153
197,2021-07-17,102,532247,189814179,8028,4102181
198,2021-07-18,100,497420,190311599,7650,4109831
199,2021-07-19,182,443554,190755153,7538,4117369
200,2021-07-20,271,416335,191171488,7092,4124461
201,2021-07-21,929,472240,191643728,19719,4144180
202,2021-07-22,307,494561,192138289,8209,4152389
