Date,Sephora,Ulta,Fenty,Glossier
2021-03-24,76,68,34,32
2021-03-25,79,70,41,33
2021-03-26,75,70,35,29
2021-03-27,81,86,31,35
2021-03-28,81,82,36,40
2021-03-29,70,60,30,30
2021-03-30,73,60,34,31
2021-03-31,76,63,35,26
2021-04-01,75,67,72,29
2021-04-02,83,83,71,28
2021-04-03,79,87,55,34
2021-04-04,79,75,48,33
2021-04-05,81,58,56,35
2021-04-06,74,52,42,27
2021-04-07,78,55,38,30
2021-04-08,80,55,36,28
2021-04-09,90,58,37,28
2021-04-10,91,72,37,29
2021-04-11,93,74,41,31
2021-04-12,80,57,35,26
2021-04-13,86,56,36,24
2021-04-14,82,53,34,24
2021-04-15,89,58,34,31
2021-04-16,85,66,33,27
2021-04-17,89,73,31,27
2021-04-18,79,72,31,34
2021-04-19,79,51,28,23
2021-04-20,76,54,27,21
2021-04-21,69,53,29,26
2021-04-22,70,53,30,27
2021-04-23,68,57,28,20
2021-04-24,76,68,24,27
2021-04-25,74,68,31,29
2021-04-26,68,49,25,26
2021-04-27,68,50,25,25
2021-04-28,70,49,27,22
2021-04-29,67,51,31,26
2021-04-30,68,60,28,34
2021-05-01,73,67,59,30
2021-05-02,76,67,60,30
2021-05-03,69,53,58,33
2021-05-04,69,54,43,27
2021-05-05,68,52,43,26
2021-05-06,78,59,40,27
2021-05-07,77,67,30,31
2021-05-08,79,74,33,28
2021-05-09,73,74,29,27
2021-05-10,67,53,29,26
2021-05-11,68,52,34,26
2021-05-12,67,54,39,21
2021-05-13,71,56,33,26
2021-05-14,70,62,31,30
2021-05-15,68,72,31,23
2021-05-16,70,64,33,31
2021-05-17,63,53,28,25
2021-05-18,64,53,33,34
2021-05-19,75,50,26,31
2021-05-20,70,57,28,32
2021-05-21,70,57,30,28
2021-05-22,76,68,29,29
2021-05-23,71,64,30,29
2021-05-24,72,52,31,26
2021-05-25,69,52,27,28
2021-05-26,77,54,30,30
2021-05-27,75,57,28,25
2021-05-28,81,66,24,27
2021-05-29,87,72,26,28
2021-05-30,79,69,35,22
2021-05-31,71,64,28,29
2021-06-01,68,52,70,27
2021-06-02,69,55,69,26
2021-06-03,67,54,47,27
2021-06-04,68,61,51,22
2021-06-05,74,63,41,26
2021-06-06,69,63,33,30
2021-06-07,60,50,32,22
2021-06-08,65,48,28,24
2021-06-09,67,53,29,25
2021-06-10,64,54,27,71
2021-06-11,65,59,28,65
2021-06-12,70,60,22,59
2021-06-13,69,60,23,47
2021-06-14,59,49,27,53
2021-06-15,63,49,27,36
2021-06-16,69,56,36,25
2021-06-17,63,52,39,28
2021-06-18,66,60,33,23
2021-06-19,68,63,23,26
2021-06-20,61,56,24,26
2021-06-21,60,50,26,27
2021-06-22,64,53,22,22
2021-06-23,63,53,20,27
2021-06-24,64,55,27,22
2021-06-25,63,61,23,27
2021-06-26,72,64,27,26
2021-06-27,71,68,24,24
2021-06-28,64,53,19,24
2021-06-29,68,56,21,23
2021-06-30,80,59,32,24
2021-07-01,72,58,60,21
2021-07-02,74,65,59,23
2021-07-03,82,64,48,23
2021-07-04,80,61,51,20
2021-07-05,73,50,40,18
