,dt_day,total_activity
474,2022-04-20,210.0
475,2022-04-21,217.0
476,2022-04-22,132.0
477,2022-04-23,114.0
478,2022-04-24,126.0
479,2022-04-25,161.0
480,2022-04-26,125.0
481,2022-04-27,137.0
482,2022-04-28,170.0
483,2022-04-29,312.0
484,2022-04-30,238.0
485,2022-05-01,108.0
486,2022-05-02,185.0
487,2022-05-03,359.0
488,2022-05-04,201.0
489,2022-05-05,350.0
490,2022-05-06,485.0
491,2022-05-07,343.0
492,2022-05-08,349.0
493,2022-05-09,246.0
494,2022-05-10,274.0
495,2022-05-11,226.0
496,2022-05-12,194.0
497,2022-05-13,227.0
498,2022-05-14,141.0
499,2022-05-15,239.0
500,2022-05-16,237.0
501,2022-05-17,262.0
502,2022-05-18,210.0
503,2022-05-19,181.0
504,2022-05-20,121.0
505,2022-05-21,109.0
506,2022-05-22,117.0
507,2022-05-23,107.0
508,2022-05-24,263.0
509,2022-05-25,249.0
510,2022-05-26,376.0
511,2022-05-27,403.0
512,2022-05-28,342.0
513,2022-05-29,339.0
514,2022-05-30,412.0
515,2022-05-31,358.0
516,2022-06-01,333.0
517,2022-06-02,199.0
518,2022-06-03,132.0
519,2022-06-04,121.0
520,2022-06-05,108.0
521,2022-06-06,188.0
522,2022-06-07,205.0
523,2022-06-08,316.0
524,2022-06-09,187.0
525,2022-06-10,126.0
526,2022-06-11,116.0
527,2022-06-12,126.0
528,2022-06-13,170.0
529,2022-06-14,173.0
530,2022-06-15,85.0
531,2022-06-16,114.0
532,2022-06-17,108.0
533,2022-06-18,65.0
534,2022-06-19,50.0
535,2022-06-20,99.0
536,2022-06-21,207.0
537,2022-06-22,270.0
538,2022-06-23,293.0
539,2022-06-24,124.0
540,2022-06-25,50.0
541,2022-06-26,87.0
542,2022-06-27,62.0
543,2022-06-28,157.0
544,2022-06-29,90.0
545,2022-06-30,55.0
546,2022-07-01,127.0
547,2022-07-02,96.0
548,2022-07-03,67.0
549,2022-07-04,101.0
550,2022-07-05,112.0
551,2022-07-06,125.0
552,2022-07-07,94.0
553,2022-07-08,72.0
554,2022-07-09,110.0
555,2022-07-10,118.0
556,2022-07-11,159.0
557,2022-07-12,105.0
558,2022-07-13,116.0
559,2022-07-14,83.0
560,2022-07-15,77.0
561,2022-07-16,74.0
562,2022-07-17,99.0
563,2022-07-18,94.0
564,2022-07-19,171.0
565,2022-07-20,193.0
566,2022-07-21,269.0
567,2022-07-22,286.0
568,2022-07-23,160.0
569,2022-07-24,151.0
570,2022-07-25,152.0
571,2022-07-26,246.0
572,2022-07-27,154.0
573,2022-07-28,193.0
574,2022-07-29,201.0
575,2022-07-30,141.0
576,2022-07-31,75.0
577,2022-08-01,149.0
578,2022-08-02,85.0
579,2022-08-03,173.0
580,2022-08-04,175.0
581,2022-08-05,118.0
582,2022-08-06,91.0
583,2022-08-07,70.0
584,2022-08-08,95.0
585,2022-08-09,105.0
586,2022-08-10,152.0
587,2022-08-11,201.0
588,2022-08-12,113.0
589,2022-08-13,62.0
590,2022-08-14,83.0
591,2022-08-15,100.0
592,2022-08-16,177.0
593,2022-08-17,158.0
594,2022-08-18,248.0
595,2022-08-19,170.0
596,2022-08-20,99.0
597,2022-08-21,144.0
598,2022-08-22,122.0
599,2022-08-23,63.0
600,2022-08-24,71.0
601,2022-08-25,104.0
602,2022-08-26,100.0
603,2022-08-27,86.0
604,2022-08-28,49.0
605,2022-08-29,112.0
606,2022-08-30,134.0
607,2022-08-31,105.0
